key,asset,hypothesis,start_idx,end_idx,depth,cum_pnl,entry_time,exit_time
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1665,1667,3,-1970.67,2025-11-26 18:00:00+00:00,2025-11-27 03:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1671,1675,5,-3169.14,2025-12-01 00:00:00+00:00,2025-12-01 13:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1678,1681,4,-2887.96,2025-12-02 15:00:00+00:00,2025-12-03 03:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1683,1685,3,-1874.55,2025-12-03 15:00:00+00:00,2025-12-03 21:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1687,1689,3,-1577.85,2025-12-05 10:00:00+00:00,2025-12-05 17:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1698,1699,2,-1486.17,2025-12-09 22:00:00+00:00,2025-12-11 02:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1703,1707,5,-1712.86,2025-12-12 16:00:00+00:00,2025-12-14 21:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1709,1712,4,-2315.55,2025-12-15 15:00:00+00:00,2025-12-15 22:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1722,1723,2,-1382.91,2025-12-19 08:00:00+00:00,2025-12-19 23:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1726,1728,3,-1245.76,2025-12-22 01:00:00+00:00,2025-12-22 10:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1740,1741,2,-479.68,2025-12-29 01:00:00+00:00,2025-12-29 03:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1750,1758,9,-2577.66,2026-01-01 18:00:00+00:00,2026-01-04 07:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1760,1761,2,-490.5,2026-01-04 20:00:00+00:00,2026-01-05 00:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1763,1766,4,-1684.24,2026-01-05 07:00:00+00:00,2026-01-05 17:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1768,1769,2,-688.74,2026-01-06 10:00:00+00:00,2026-01-06 12:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1772,1774,3,-1492.1,2026-01-07 10:00:00+00:00,2026-01-08 07:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1782,1783,2,-749.43,2026-01-12 02:00:00+00:00,2026-01-12 04:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1786,1792,7,-3547.3,2026-01-13 07:00:00+00:00,2026-01-14 17:00:00+00:00
